"filename", "language", "Ini", "C++", "C", "Properties", "Markdown", "YAML", "JSON", "comment", "blank", "total"
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\Weather\Weather.ino", "C++", 0, 110, 0, 0, 0, 0, 0, 281, 35, 426
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\XBM\XBM.ino", "C++", 0, 77, 0, 0, 0, 0, 0, 269, 23, 369
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\XORTest\XORTest.ino", "C++", 0, 53, 0, 0, 0, 0, 0, 266, 26, 345
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\u8x8\16x16Font\16x16Font.ino", "C++", 0, 18, 0, 0, 0, 0, 0, 220, 15, 253
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\u8x8\ArduboyTest\ArduboyTest.ino", "C++", 0, 86, 0, 0, 0, 0, 0, 38, 17, 141
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\u8x8\FlipMode\FlipMode.ino", "C++", 0, 27, 0, 0, 0, 0, 0, 215, 14, 256
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\u8x8\GraphicsTest\GraphicsTest.ino", "C++", 0, 140, 0, 0, 0, 0, 0, 222, 30, 392
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\u8x8\HelloWorld\HelloWorld.ino", "C++", 0, 17, 0, 0, 0, 0, 0, 219, 14, 250
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\u8x8\MessageBox\MessageBox.ino", "C++", 0, 27, 0, 0, 0, 0, 0, 217, 11, 255
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\u8x8\Terminal\Terminal.ino", "C++", 0, 27, 0, 0, 0, 0, 0, 222, 19, 268
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\library.properties", "Properties", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\U8g2lib.cpp", "C++", 0, 27, 0, 0, 0, 0, 0, 37, 13, 77
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\U8g2lib.h", "C++", 0, 16512, 0, 0, 0, 0, 0, 107, 103, 16722
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\U8x8lib.cpp", "C++", 0, 1276, 0, 0, 0, 0, 0, 295, 303, 1874
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\U8x8lib.h", "C++", 0, 5648, 0, 0, 0, 0, 0, 82, 93, 5823
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2.h", "C++", 0, 2896, 0, 0, 0, 0, 0, 240, 157, 3293
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_bitmap.c", "C", 0, 0, 146, 0, 0, 0, 0, 41, 32, 219
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_box.c", "C", 0, 0, 129, 0, 0, 0, 0, 45, 34, 208
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_buffer.c", "C", 0, 0, 120, 0, 0, 0, 0, 65, 29, 214
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\src\clib\u8g2_circle.c", "C", 0, 0, 331, 0, 0, 0, 0, 68, 81, 480
